people,time
10000,0.15010619163513184
20000,0.4288630485534668
30000,0.19298958778381348
40000,0.36103343963623047
50000,0.45877718925476074
60000,0.6101894378662109
70000,1.3948860168457031
80000,1.283440351486206
90000,2.23305082321167
100000,2.1280155181884766
110000,2.4639248847961426
120000,3.1239826679229736
130000,5.063041925430298
140000,2.9569754600524902
150000,5.033435583114624
160000,5.544942617416382
170000,5.517201662063599
180000,5.9037487506866455
190000,7.6319825649261475
200000,7.9439544677734375
210000,11.04595398902893
220000,8.315767765045166
230000,13.954091548919678
240000,14.774960279464722
250000,20.48583436012268
260000,23.1462299823761
270000,27.52875542640686
280000,32.51170039176941
290000,39.548203468322754
300000,42.9196674823761
310000,53.28173756599426
320000,52.734330892562866
330000,61.226706981658936
340000,66.81358098983765
350000,72.92127251625061
360000,78.88455390930176
370000,85.21839499473572
380000,94.25479936599731
390000,100.5787103176117
400000,113.2257285118103
410000,114.49923872947693
420000,124.58272194862366
430000,137.3523690700531
440000,146.77628564834595
450000,154.34052181243896
460000,163.6569745540619
470000,164.8849058151245
480000,173.7881784439087
490000,184.2405641078949
500000,193.22825384140015
510000,206.35404324531555
520000,218.15423774719238
530000,223.73183941841125
540000,235.7855429649353
550000,241.34784388542175
560000,257.53822326660156
570000,272.46612882614136
580000,279.6182906627655
590000,292.0868489742279
600000,299.81369638442993
